"游戏","apk_type",Count
"com.mobile.legends",2,78
"com.ngame.allstar.eu",2,75
"com.firsttouchgames.dls3",2,56
"com.bandainamcoent.ninjavoltage_app",2,49
"com.nekki.shadowfight3",2,46
"com.netease.chiji",2,45
"com.LOUTF.HomeGaurds",2,42
"com.kiloo.subwaysurf",2,35
"com.supercell.clashofclans",2,33
"com.nexon.elswordlunasl",2,30
"com.garena.game.kgth",2,26
"com.netease.rs",2,26
"jp.konami.pesam",2,26
"com.elex.lastbattlegroundsurvival",2,25
"com.hastyclicks.poolrewards",2,25
"com.dts.freefireth",2,24
"com.netmarble.revolutionthm",2,24
"com.ea.gp.fifamobile",2,23
"com.king.candycrushsaga",2,21
"com.aniplex.fategrandorder.en",2,20
"eu.bandainamcoent.tekkenmobile",2,20
"com.gamedreamer.sglm",2,19
"com.ea.gp.simsmobile",2,18
"com.bandainamcoent.saoif",2,17
"com.superking.ludo.star",2,17
"com.ea.gp.fifaworld",2,16
"com.miniclip.eightballpool",2,15
"com.sixjoy.warsong1",2,15
"com.ForgeGames.SpecialForcesGroup2",2,14
"com.garena.game.kgid",2,14
"com.nintendo.zaba",2,14
"com.aniplex.fategrandorder",2,13
"com.netmarble.lin2ws",2,13
"com.nexon.pbs",2,12
"com.supercell.clashroyale",2,12
"zombie.survival.craft.z",2,12
"com.ea.game.nfs14_row",2,11
"com.nekki.shadowfight",2,11
"com.nianticlabs.pokemongo",2,11
"org.ppsspp.ppsspp",2,11
"com.aniplex.magireco",2,10
"com.cmplay.tiles2",2,10
"com.djwl.PLD3",2,10
"com.nexon.durango",2,10
"com.peoplefun.wordcross",2,10
"com.gameloft.android.ANMP.GloftA8HM",2,9
"com.igg.android.lordsmobile",2,9
"com.king.candycrushsodasaga",2,9
"com.maleo.bussimulatorid",2,9
"com.mojang.minecraftpe",2,9
"com.nextwave.wcc2",2,9
"com.nintendo.zaca",2,9
"com.vroovy.jadeja",2,9
"it.dcsoft.pocketgirl",2,9
"com.firsttouchgames.dlsa",2,8
"com.gameloft.android.ANMP.GloftR7HM",2,8
"com.gdx.diamondrush",2,8
"com.ketchapp.assassinscreedtower",2,8
"com.ludo.king",2,8
"com.naturalmotion.customstreetracer2",2,8
"com.netease.ko",2,8
"com.sega.sprint",2,8
"jp.klab.captain283",2,8
"air.com.helloair.HELLOFROG",2,7
"com.contol.rutn.te",2,7
"com.episodeinteractive.android.catalog",2,7
"com.firsttouchgames.fts15",2,7
"com.firsttouchgames.story",2,7
"com.gmthai.bar",2,7
"com.hxbkvn.dk.mg",2,7
"com.imangi.templerun",2,7
"com.ncsoft.lineagem19",2,7
"com.nexon.overhit",2,7
"com.supercell.hayday",2,7
"io.voodoo.dune",2,7
"air.com.hypah.io.slither",2,6
"com.HighbrowInteractive.IndianTrainSim",2,6
"com.appsomniacs.da2",2,6
"com.bandainamcoent.narutoblazingna",2,6
"com.dianhun.xgame.lvs.global",2,6
"com.ea.games.r3_na",2,6
"com.gameloft.android.ANMP.GloftGGHM",2,6
"com.gameloft.android.ANMP.GloftOLHM",2,6
"com.garena.game.kgvn",2,6
"com.hotheadgames.google.free.bops",2,6
"com.nexon.da3",2,6
"com.opalastudios.pads",2,6
"com.ovilex.eurotruckdriver",2,6
"com.skgames.trafficracer",2,6
"com.ucool.heroesarena",2,6
"es.socialpoint.DragonCity",2,6
"com.aiming.caravan",2,5
"com.bandainamcogames.dbzdokkanww",2,5
"com.criticalforceentertainment.criticalops",2,5
"com.ea.game.simcitymobile_row",2,5
"com.gameloft.android.ANMP.GloftM5HM",2,5
"com.gamepub.bb.g",2,5
"com.garena.game.kgtw",2,5
"com.hasbro.beybladesenterprise",2,5
"com.herogames.gplay.crisisactionsa",2,5
"com.imangi.templerun2",2,5
"com.longtech.lastwars.gp",2,5
"com.nordcurrent.canteenhd",2,5
"com.pikpok.dr2.play",2,5
"com.roblox.client",2,5
"com.sega.sonicdash",2,5
"com.soccermanagerltd.soccermanager2018",2,5
"com.superevilmegacorp.game",2,5
"com.vng.dmzvn",2,5
"com.wb.goog.mkx",2,5
"jp.kamasu.singekionline",2,5
"com.Alienforcegames.ChessFusionFree",2,4
"com.addswhilessuffers.binds",2,4
"com.ansangha.drdriving",2,4
"com.asobimo.alchemiastory",2,4
"com.bandainamcoent.ninjaborutage_app",2,4
"com.bitmango.rolltheballunrollme",2,4
"com.blayzegames.iosfps",2,4
"com.dts.freefire",2,4
"com.ea.game.pvz2_na",2,4
"com.ea.game.pvzfree_row",2,4
"com.ea.gp.nbamobile",2,4
"com.fingersoft.hcr2",2,4
"com.fingersoft.hillclimb",2,4
"com.fortafygames.colorswitch",2,4
"com.gameloft.android.ANMP.GloftMOHM",2,4
"com.gameloft.android.ANMP.GloftMVHM",2,4
"com.generagames.resistance",2,4
"com.gs5.cfm",2,4
"com.hotheadgames.google.free.survivors",2,4
"com.hypebits.android.thriller",2,4
"com.kathleenOswald.solitaireGooglePlay",2,4
"com.klab.bleach",2,4
"com.ludia.jurassicworld",2,4
"com.miHoYo.bh3oversea",2,4
"com.monsterssaga.th",2,4
"com.mousecity.faraway2",2,4
"com.nekki.vector",2,4
"com.netease.onmyoji.gb",2,4
"com.netmarble.destiny",2,4
"com.netmarble.mherosgb",2,4
"com.nexon.axe",2,4
"com.nintendo.zara",2,4
"com.outfit7.mytalkingangelafree",2,4
"com.outfit7.mytalkingtomfree",2,4
"com.ovilex.drivingschool2017",2,4
